stadtteil;acs_jahr;jahr;monat;wochentag;stunde;ist_wochenende;ist_nacht;antwortzeit_min;einsatzart;bataillon;alarmstufe;schaetzung_sachschaden_usd;gesamtbevoelkerung;median_haushaltseinkommen;armutsquote_pct;akademikerquote_pct;median_miete;leerstandsquote_pct;kriminalitaetsindex;kriminalitaetsrate_pro_1000_ew_roh;gesamtzahl_wohneinheiten;anteil_altbau_vor_1940_pct;anteil_wohngebaeude_pct;anteil_risikogewerbe_pct
South Of Market;2014;2018;2;0;11;0;0;2.8833333333333333;323 Motor vehicle/pedestrian accident (MV Ped);B03;1;0.0;6298;72346;0.2917;0.2769;1170;0.1191;11.3385;2666.878;17638;0.6858;0.3221;0.2218
Financial District/South Beach;2014;2018;2;0;11;0;0;5.6;353 Removal of victim(s) from stalled elevator;B03;1;0.0;4153;83938;0.1168;0.3754;1639;0.197;11.2192;2638.815;16452;0.6597;0.1331;0.0719
Tenderloin;2023;2024;1;0;0;0;1;6.0;552 Police matter;B02;1;0.0;32009;47965;0.2669;0.2127;1189;0.1471;2.8499;418.101;20084;0.8892;0.4952;0.1139
Outer Richmond;2009;2005;12;5;14;1;0;0.26666666666666666;113 - Cooking fire, confined to container;B07;1;0.0;23056;70797;0.085;;1327;0.0675;;;18402;0.7689;0.9514;0.022
Bayview Hunters Point;2019;2020;1;2;0;0;1;4.8;700 False alarm or false call, other;B10;1;0.0;37917;64881;0.1779;0.1823;1367;0.0611;0.954;199.356;11504;0.4012;0.7371;0.1005
Western Addition;2021;2022;12;0;11;0;0;2.65;700 False alarm or false call, other;B05;1;0.0;21989;100911;0.1926;0.3608;1718;0.1259;1.4321;205.512;12487;0.7305;0.7715;0.0416
Chinatown;2023;2024;1;0;1;0;1;2.566666666666667;320 Emergency medical service incident, other;B01;1;0.0;12644;37973;0.2883;0.1812;907;0.1372;1.1898;174.549;8076;0.8943;0.5811;0.0869
South Of Market;2021;2022;12;0;11;0;0;4.483333333333333;520 Water problem, other;B03;1;0.0;24972;85183;0.1585;0.3344;1624;0.1469;3.3068;474.531;17638;0.6858;0.3221;0.2218
Tenderloin;2014;2018;2;0;11;0;0;5.383333333333334;320 Emergency medical service incident, other;B01;1;0.0;11507;20562;0.3613;0.2048;765;0.139;4.8827;1148.431;20084;0.8892;0.4952;0.1139
Mission Bay;2019;2020;1;2;0;0;1;5.083333333333333;700 False alarm or false call, other;B03;1;0.0;;;;;;;;;8458;0.456;0.1053;0.0832
