incident_number;incident_date;alarm_dttm;arrival_dttm;neighborhood_district;battalion;primary_situation;suppression_units;suppression_personnel;ems_units;number_of_alarms;civilian_fatalities;civilian_injuries;no_flame_spread;estimated_property_loss;response_time_min;year;month;hour;weekday;is_weekend;is_night;neighborhood;acs_year;total_population;median_household_income;median_gross_rent;poverty_below;poverty_universe_total;bachelor_degree_count;education_universe_total;vacant_housing_units;total_housing_units;crime_index;crime_rate_raw;parcel_count;yrbuilt_count;pre1940_count;pre1960_count;total_resunits;residential_count;total_area_sqft;high_risk_commercial_area_sqft
05095167;2005-12-17;2005-12-17 13:50:17;2005-12-17 13:53:38;Financial District/South Beach;B01;730 - System malfunction, other;3;11;0;1;0;0;;0.0;3.35;2005;12;13;5;1;0;Financial District/South Beach;2009;3946.0;81993;1521;522.0;3946.0;0.0;0.0;612.0;3027.0;;;1232;1002;661;711;16452.0;164;22336746.81299536;1605340.129434689
18024275;2018-02-26;2018-02-26 10:58:56;2018-02-26 11:03:03;Presidio;B99;412 Gas leak (natural gas or LPG);3;10;0;1;0;0;NA;0.0;4.116666666666666;2018;2;10;0;0;0;Presidio;2014;3451.0;146000;2001;201.0;3443.0;1240.0;2453.0;99.0;1317.0;0.1072;25.21;34;25;21;23;194.0;25;65811868.5950404;0.0
22167650;2022-12-26;2022-12-26 09:40:46;2022-12-26 09:43:16;Presidio Heights;B05;735 Alarm system sounded due to malfunction;3;10;0;1;0;0;NA;0.0;2.5;2022;12;9;0;0;0;Presidio Heights;2021;10475.0;160481;2392;629.0;10441.0;3939.0;8236.0;501.0;5552.0;0.4863;69.785;2110;2044;1585;1877;5190.0;1908;9527729.349454287;221803.5619475
20000026;2020-01-01;2020-01-01 00:33:52;2020-01-01 00:39:10;Bayview Hunters Point;B10;150 Outside rubbish fire, other;1;4;0;1;0;0;NA;0.0;5.3;2020;1;0;2;0;1;Bayview Hunters Point;2019;37917.0;64881;1367;6717.0;37747.0;4910.0;26929.0;776.0;12701.0;0.954;199.356;9079;7590;3045;5305;11504.0;6692;132006461.54851584;13267553.77316572
24000014;2024-01-01;2024-01-01 00:32:29;2024-01-01 00:40:43;North Beach;B01;500 Service Call, other;1;4;0;1;0;0;NA;0.0;8.233333333333333;2024;1;0;0;0;1;North Beach;2023;11497.0;130293;2225;1147.0;11497.0;3239.0;9370.0;1498.0;7599.0;2.4314;356.702;1474;1352;1067;1167;6485.0;1136;10205305.035137417;535815.8314279229
18024279;2018-02-26;2018-02-26 11:08:08;2018-02-26 11:14:30;Bayview Hunters Point;B10;735 Alarm system sounded due to malfunction;3;10;0;1;0;0;NA;0.0;6.366666666666666;2018;2;11;0;0;0;Bayview Hunters Point;2014;37537.0;58112;1139;8419.0;37431.0;4074.0;24561.0;959.0;11922.0;0.8745;205.69;9079;7590;3045;5305;11504.0;6692;132006461.54851584;13267553.77316572
05095169;2005-12-17;2005-12-17 13:54:18;2005-12-17 13:55:55;Haight Ashbury;B05;444 - Power line down (wire);3;11;0;1;0;0;;0.0;1.6166666666666667;2005;12;13;5;1;0;Haight Ashbury;2009;4718.0;76019;1407;528.0;4718.0;0.0;0.0;293.0;2547.0;;;2876;2796;2538;2651;8702.0;2666;10986995.131011656;299610.76852043
05095172;2005-12-17;2005-12-17 14:11:10;2005-12-17 14:13:32;Financial District/South Beach;B03;442 - Overheated motor;3;10;0;1;0;0;;0.0;2.3666666666666667;2005;12;14;5;1;0;Financial District/South Beach;2009;3946.0;81993;1521;522.0;3946.0;0.0;0.0;612.0;3027.0;;;1232;1002;661;711;16452.0;164;22336746.81299536;1605340.129434689
18024284;2018-02-26;2018-02-26 11:16:33;2018-02-26 11:21:16;Financial District/South Beach;B01;730 System malfunction, other;3;11;0;1;0;0;NA;0.0;4.716666666666667;2018;2;11;0;0;0;Financial District/South Beach;2014;4153.0;83938;1639;479.0;4101.0;1323.0;3524.0;620.0;3147.0;11.2192;2638.815;1232;1002;661;711;16452.0;164;22336746.81299536;1605340.129434689
24000017;2024-01-01;2024-01-01 00:40:48;2024-01-01 00:46:06;Tenderloin;B02;621 Wrong location;1;5;0;1;0;0;NA;0.0;5.3;2024;1;0;0;0;1;Tenderloin;2023;32009.0;47965;1189;8414.0;31530.0;5918.0;27825.0;3152.0;21432.0;2.8499;418.101;838;767;682;699;20084.0;415;6915450.999958961;787681.339408623
20000027;2020-01-01;2020-01-01 00:34:01;2020-01-01 00:38:26;Bayview Hunters Point;B10;150 Outside rubbish fire, other;1;4;0;1;0;0;NA;0.0;4.416666666666667;2020;1;0;2;0;1;Bayview Hunters Point;2019;37917.0;64881;1367;6717.0;37747.0;4910.0;26929.0;776.0;12701.0;0.954;199.356;9079;7590;3045;5305;11504.0;6692;132006461.54851584;13267553.77316572
22167658;2022-12-26;2022-12-26 09:56:24;2022-12-26 09:59:31;South of Market;B03;151 Outside rubbish, trash or waste fire;1;4;0;1;0;0;NA;0.0;3.1166666666666667;2022;12;9;0;0;0;South Of Market;2021;24972.0;85183;1624;3907.0;24654.0;6942.0;20757.0;2250.0;15318.0;3.3068;474.531;1984;1725;1183;1330;17638.0;639;17922069.165378615;3975462.21846598
05095175;2005-12-17;2005-12-17 14:24:01;2005-12-17 14:32:26;Outer Richmond;B07;113 - Cooking fire, confined to container;3;10;0;1;0;0;;0.0;8.416666666666666;2005;12;14;5;1;0;Outer Richmond;2009;23056.0;70797;1327;1960.0;23056.0;0.0;0.0;662.0;9813.0;;;9568;9399;7227;8285;18402.0;9103;32744595.616565924;720267.288870773
22167681;2022-12-26;2022-12-26 10:52:01;2022-12-26 10:59:20;Potrero Hill;B03;600 Good intent call, other;1;4;0;1;0;0;NA;0.0;7.316666666666666;2022;12;10;0;0;0;Potrero Hill;2021;15089.0;203465;3065;953.0;15081.0;5441.0;12491.0;756.0;8043.0;1.0059;144.344;2948;2623;1741;1983;7487.0;2374;23512977.162499327;2556093.17916258
20000028;2020-01-01;2020-01-01 00:34:29;2020-01-01 00:39:30;Tenderloin;B02;711 Municipal alarm system, malicious false alarm;4;16;0;1;0;0;NA;0.0;5.016666666666667;2020;1;0;2;0;1;Tenderloin;2019;11685.0;32229;1018;3435.0;11510.0;2115.0;10224.0;941.0;8079.0;5.4893;1147.112;838;767;682;699;20084.0;415;6915450.999958961;787681.339408623
24000021;2024-01-01;2024-01-01 00:50:43;2024-01-01 00:55:54;Mission Bay;B03;743 Smoke detector activation, no fire - unintentional;3;11;0;1;0;0;NA;0.0;5.183333333333334;2024;1;0;0;0;1;Mission Bay;2023;16710.0;208398;3339;1110.0;16082.0;4220.0;13010.0;662.0;8138.0;0.8982;131.777;361;125;57;80;8458.0;38;19396422.078804985;1614160.25874428
18024294;2018-02-26;2018-02-26 11:29:54;2018-02-26 11:32:47;South of Market;B03;323 Motor vehicle/pedestrian accident (MV Ped);3;13;1;1;0;0;NA;0.0;2.8833333333333333;2018;2;11;0;0;0;South Of Market;2014;6298.0;72346;1170;1649.0;5654.0;1561.0;5638.0;484.0;4064.0;11.3385;2666.878;1984;1725;1183;1330;17638.0;639;17922069.165378615;3975462.21846598
18024298;2018-02-26;2018-02-26 11:44:03;2018-02-26 11:49:39;Financial District/South Beach;B03;353 Removal of victim(s) from stalled elevator;1;5;0;1;0;0;NA;0.0;5.6;2018;2;11;0;0;0;Financial District/South Beach;2014;4153.0;83938;1639;479.0;4101.0;1323.0;3524.0;620.0;3147.0;11.2192;2638.815;1232;1002;661;711;16452.0;164;22336746.81299536;1605340.129434689
24000024;2024-01-01;2024-01-01 00:53:29;2024-01-01 00:59:29;Tenderloin;B02;552 Police matter;1;5;0;1;0;0;NA;0.0;6.0;2024;1;0;0;0;1;Tenderloin;2023;32009.0;47965;1189;8414.0;31530.0;5918.0;27825.0;3152.0;21432.0;2.8499;418.101;838;767;682;699;20084.0;415;6915450.999958961;787681.339408623
05095176;2005-12-17;2005-12-17 14:26:13;2005-12-17 14:26:29;Outer Richmond;B07;113 - Cooking fire, confined to container;11;39;1;1;0;0;;0.0;0.26666666666666666;2005;12;14;5;1;0;Outer Richmond;2009;23056.0;70797;1327;1960.0;23056.0;0.0;0.0;662.0;9813.0;;;9568;9399;7227;8285;18402.0;9103;32744595.616565924;720267.288870773
20000031;2020-01-01;2020-01-01 00:38:49;2020-01-01 00:43:37;Bayview Hunters Point;B10;700 False alarm or false call, other;2;9;0;1;0;0;NA;0.0;4.8;2020;1;0;2;0;1;Bayview Hunters Point;2019;37917.0;64881;1367;6717.0;37747.0;4910.0;26929.0;776.0;12701.0;0.954;199.356;9079;7590;3045;5305;11504.0;6692;132006461.54851584;13267553.77316572
22167685;2022-12-26;2022-12-26 11:04:19;2022-12-26 11:06:58;Western Addition;B05;700 False alarm or false call, other;3;10;0;1;0;0;NA;0.0;2.65;2022;12;11;0;0;0;Western Addition;2021;21989.0;100911;1718;4216.0;21893.0;6622.0;18352.0;1650.0;13109.0;1.4321;205.512;1037;935;683;706;12487.0;800;10974477.754918382;456049.950788231
24000029;2024-01-01;2024-01-01 01:02:37;2024-01-01 01:05:11;Chinatown;B01;320 Emergency medical service incident, other;3;11;2;1;0;0;NA;0.0;2.566666666666667;2024;1;1;0;0;1;Chinatown;2023;12644.0;37973;907;3635.0;12607.0;1913.0;10558.0;1019.0;7428.0;1.1898;174.549;1005;946;846;872;8076.0;584;4062467.545265171;353139.634978812
22167686;2022-12-26;2022-12-26 11:08:00;2022-12-26 11:12:29;South of Market;B03;520 Water problem, other;1;5;0;1;0;0;NA;0.0;4.483333333333333;2022;12;11;0;0;0;South Of Market;2021;24972.0;85183;1624;3907.0;24654.0;6942.0;20757.0;2250.0;15318.0;3.3068;474.531;1984;1725;1183;1330;17638.0;639;17922069.165378615;3975462.21846598
18024302;2018-02-26;2018-02-26 11:48:21;2018-02-26 11:53:44;Tenderloin;B01;320 Emergency medical service incident, other;1;4;0;1;0;0;NA;0.0;5.383333333333334;2018;2;11;0;0;0;Tenderloin;2014;11507.0;20562;765;4076.0;11283.0;1992.0;9726.0;1090.0;7839.0;4.8827;1148.431;838;767;682;699;20084.0;415;6915450.999958961;787681.339408623
20000033;2020-01-01;2020-01-01 00:41:14;2020-01-01 00:46:19;Mission Bay;B03;700 False alarm or false call, other;1;4;0;1;0;0;NA;0.0;5.083333333333333;2020;1;0;2;0;1;Mission Bay;2019;;;;;;;;;;;;361;125;57;80;8458.0;38;19396422.078804985;1614160.25874428
05095178;2005-12-17;2005-12-17 14:30:34;2005-12-17 14:33:34;Pacific Heights;B04;743 - Smoke detector, no fire, accidental;3;10;0;1;0;0;;0.0;3.0;2005;12;14;5;1;0;Pacific Heights;2009;9993.0;112510;1692;519.0;9893.0;0.0;0.0;417.0;5637.0;;;3163;3059;2548;2744;15087.0;2846;15133028.741615564;436339.99526388
05095179;2005-12-17;2005-12-17 14:32:47;2005-12-17 14:37:28;Bayview Hunters Point;B10;745 - Alarm system sounded/no fire-accidental;3;10;0;1;0;0;;0.0;4.683333333333334;2005;12;14;5;1;0;Bayview Hunters Point;2009;29855.0;46395;982;5503.0;29653.0;0.0;0.0;891.0;9022.0;;;9079;7590;3045;5305;11504.0;6692;132006461.54851584;13267553.77316572
20000034;2020-01-01;2020-01-01 00:44:56;2020-01-01 00:51:50;Financial District/South Beach;B03;745 Alarm system activation, no fire - unintentional;3;10;0;1;0;0;NA;0.0;6.9;2020;1;0;2;0;1;Financial District/South Beach;2019;4569.0;107073;1814;802.0;4513.0;1536.0;3994.0;690.0;3490.0;12.2226;2554.169;1232;1002;661;711;16452.0;164;22336746.81299536;1605340.129434689
18024306;2018-02-26;2018-02-26 11:53:30;2018-02-26 11:57:04;Lone Mountain/USF;B07;321 EMS call, excluding vehicle accident with injury;1;5;1;1;0;0;NA;0.0;3.566666666666667;2018;2;11;0;0;0;Lone Mountain/Usf;2014;8802.0;82895;1552;1210.0;8654.0;2690.0;6746.0;216.0;3972.0;0.9414;221.427;2334;2260;1605;2037;6582.0;2151;11179656.492008898;498494.745960677
24000031;2024-01-01;2024-01-01 01:05:43;2024-01-01 01:11:29;Glen Park;B06;531 Smoke or odor removal;1;4;0;1;0;0;NA;0.0;5.766666666666667;2024;1;1;0;0;1;Glen Park;2023;8458.0;179045;2606;396.0;8429.0;2432.0;6469.0;299.0;3874.0;0.5948;87.255;2588;1655;1259;1468;3964.0;1736;14541004.947574008;218531.48022570895
22167691;2022-12-26;2022-12-26 11:18:51;2022-12-26 11:21:51;South of Market;B03;730 System malfunction, other;3;10;0;1;0;0;NA;0.0;3.0;2022;12;11;0;0;0;South Of Market;2021;24972.0;85183;1624;3907.0;24654.0;6942.0;20757.0;2250.0;15318.0;3.3068;474.531;1984;1725;1183;1330;17638.0;639;17922069.165378615;3975462.21846598
24000032;2024-01-01;2024-01-01 01:07:00;2024-01-01 01:12:05;Mission Bay;B03;735 Alarm system sounded due to malfunction;4;15;0;1;0;0;NA;0.0;5.083333333333333;2024;1;1;0;0;1;Mission Bay;2023;16710.0;208398;3339;1110.0;16082.0;4220.0;13010.0;662.0;8138.0;0.8982;131.777;361;125;57;80;8458.0;38;19396422.078804985;1614160.25874428
20000038;2020-01-01;2020-01-01 00:54:26;2020-01-01 00:59:46;Bayview Hunters Point;B10;150 Outside rubbish fire, other;3;10;0;1;0;0;NA;0.0;5.333333333333333;2020;1;0;2;0;1;Bayview Hunters Point;2019;37917.0;64881;1367;6717.0;37747.0;4910.0;26929.0;776.0;12701.0;0.954;199.356;9079;7590;3045;5305;11504.0;6692;132006461.54851584;13267553.77316572
05095182;2005-12-17;2005-12-17 14:44:29;2005-12-17 14:48:05;Financial District/South Beach;B03;730 - System malfunction, other;3;10;0;1;0;0;;0.0;3.6;2005;12;14;5;1;0;Financial District/South Beach;2009;3946.0;81993;1521;522.0;3946.0;0.0;0.0;612.0;3027.0;;;1232;1002;661;711;16452.0;164;22336746.81299536;1605340.129434689
22167700;2022-12-26;2022-12-26 11:36:50;2022-12-26 11:40:31;South of Market;B03;353 Removal of victim(s) from stalled elevator;1;5;0;1;0;0;NA;0.0;3.683333333333333;2022;12;11;0;0;0;South Of Market;2021;24972.0;85183;1624;3907.0;24654.0;6942.0;20757.0;2250.0;15318.0;3.3068;474.531;1984;1725;1183;1330;17638.0;639;17922069.165378615;3975462.21846598
18024312;2018-02-26;2018-02-26 12:11:40;2018-02-26 12:14:55;Castro/Upper Market;B05;730 System malfunction, other;3;10;0;1;0;0;NA;0.0;3.25;2018;2;12;0;0;0;Castro/Upper Market;2014;15656.0;115515;1808;1165.0;15570.0;5343.0;14007.0;780.0;9264.0;1.2655;297.649;4642;4432;3536;3899;11618.0;4239;16444864.1772685;556767.736190382
18024316;2018-02-26;2018-02-26 12:22:19;2018-02-26 12:26:33;Oceanview/Merced/Ingleside;B09;744 Detector activation, no fire - unintentional;3;11;0;1;0;0;NA;0.0;4.233333333333333;2018;2;12;0;0;0;Oceanview/Merced/Ingleside;2014;20815.0;75579;1699;3098.0;20713.0;3158.0;14872.0;274.0;6230.0;0.3289;77.348;6355;2848;1743;2618;6636.0;2931;19749005.94911125;357371.67210122
22167707;2022-12-26;2022-12-26 12:12:31;2022-12-26 12:14:26;Western Addition;B05;113 Cooking fire, confined to container;3;10;0;1;0;0;NA;0.0;1.9166666666666667;2022;12;12;0;0;0;Western Addition;2021;21989.0;100911;1718;4216.0;21893.0;6622.0;18352.0;1650.0;13109.0;1.4321;205.512;1037;935;683;706;12487.0;800;10974477.754918382;456049.950788231
24000040;2024-01-01;2024-01-01 01:16:27;2024-01-01 01:34:31;Financial District/South Beach;B03;353 Removal of victim(s) from stalled elevator;1;5;0;1;0;0;NA;0.0;18.066666666666666;2024;1;1;0;0;1;Financial District/South Beach;2023;24519.0;190545;3130;2158.0;24358.0;7591.0;20728.0;3314.0;17123.0;2.003;293.854;1232;1002;661;711;16452.0;164;22336746.81299536;1605340.129434689
05095184;2005-12-17;2005-12-17 15:04:31;2005-12-17 15:06:44;Tenderloin;B04;745 - Alarm system sounded/no fire-accidental;3;11;0;1;0;0;;0.0;2.216666666666667;2005;12;15;5;1;0;Tenderloin;2009;;;;;;;;;;;;838;767;682;699;20084.0;415;6915450.999958961;787681.339408623
20000041;2020-01-01;2020-01-01 00:59:00;2020-01-01 01:03:37;Presidio Heights;B07;600 Good intent call, other;1;4;0;1;0;0;NA;0.0;4.616666666666666;2020;1;0;2;0;1;Presidio Heights;2019;4634.0;166103;1762;485.0;4599.0;1397.0;3372.0;142.0;2111.0;0.8427;176.09;2110;2044;1585;1877;5190.0;1908;9527729.349454287;221803.5619475
24000046;2024-01-01;2024-01-01 01:22:48;2024-01-01 01:27:54;Chinatown;B01;320 Emergency medical service incident, other;1;4;1;1;0;0;NA;0.0;5.1;2024;1;1;0;0;1;Chinatown;2023;12644.0;37973;907;3635.0;12607.0;1913.0;10558.0;1019.0;7428.0;1.1898;174.549;1005;946;846;872;8076.0;584;4062467.545265171;353139.634978812
22167717;2022-12-26;2022-12-26 12:36:10;2022-12-26 12:41:37;Bernal Heights;B10;700 False alarm or false call, other;3;10;0;1;0;0;NA;0.0;5.45;2022;12;12;0;0;0;Bernal Heights;2021;25325.0;152701;2123;1839.0;25215.0;6214.0;19923.0;952.0;10040.0;0.7595;108.983;6769;6285;4339;5383;8715.0;6115;20739547.505492706;834632.4964782239
18024332;2018-02-26;2018-02-26 13:07:29;2018-02-26 13:10:53;Pacific Heights;B04;745 Alarm system activation, no fire - unintentional;3;10;0;1;0;0;NA;0.0;3.4;2018;2;13;0;0;0;Pacific Heights;2014;15836.0;116465;1922;765.0;15516.0;6195.0;13735.0;846.0;9813.0;0.6967;163.867;3163;3059;2548;2744;15087.0;2846;15133028.741615564;436339.99526388
05095187;2005-12-17;2005-12-17 15:07:05;2005-12-17 15:11:23;Potrero Hill;B10;311 - Medical assist, assist EMS crew;1;4;0;1;0;0;;0.0;4.3;2005;12;15;5;1;0;Potrero Hill;2009;3501.0;119797;1890;117.0;3501.0;0.0;0.0;76.0;1922.0;;;2948;2623;1741;1983;7487.0;2374;23512977.162499327;2556093.17916258
20000044;2020-01-01;2020-01-01 01:03:51;2020-01-01 01:08:12;Tenderloin;B02;735 Alarm system sounded due to malfunction;3;11;0;1;0;0;NA;0.0;4.35;2020;1;1;2;0;1;Tenderloin;2019;11685.0;32229;1018;3435.0;11510.0;2115.0;10224.0;941.0;8079.0;5.4893;1147.112;838;767;682;699;20084.0;415;6915450.999958961;787681.339408623
24000047;2024-01-01;2024-01-01 01:28:16;2024-01-01 01:34:54;Pacific Heights;B04;651 Smoke scare, odor of smoke;1;4;0;1;0;0;NA;0.0;6.633333333333334;2024;1;1;0;0;1;Pacific Heights;2023;22976.0;197067;3049;1156.0;22601.0;9206.0;19559.0;2451.0;15299.0;0.6746;98.973;3163;3059;2548;2744;15087.0;2846;15133028.741615564;436339.99526388
05095189;2005-12-17;2005-12-17 15:11:01;2005-12-17 15:15:14;Potrero Hill;B10;700 - False alarm or false call, other;9;30;0;1;0;0;;0.0;4.216666666666667;2005;12;15;5;1;0;Potrero Hill;2009;3501.0;119797;1890;117.0;3501.0;0.0;0.0;76.0;1922.0;;;2948;2623;1741;1983;7487.0;2374;23512977.162499327;2556093.17916258
18024334;2018-02-26;2018-02-26 13:12:51;2018-02-26 13:15:57;Bayview Hunters Point;B10;322 Motor vehicle accident with injuries;4;14;5;1;0;0;NA;0.0;3.1;2018;2;13;0;0;0;Bayview Hunters Point;2014;37537.0;58112;1139;8419.0;37431.0;4074.0;24561.0;959.0;11922.0;0.8745;205.69;9079;7590;3045;5305;11504.0;6692;132006461.54851584;13267553.77316572
22167718;2022-12-26;2022-12-26 12:36:31;2022-12-26 12:48:46;Portola;B10;300 Rescue, EMS incident, other;1;4;1;1;0;0;NA;0.0;12.25;2022;12;12;0;0;0;Portola;2021;15965.0;108595;2140;1449.0;15891.0;2424.0;12374.0;209.0;5079.0;0.6224;89.32;3886;3747;1370;2893;4373.0;3651;16272726.629967185;279929.66771326
