incident_number;incident_date;alarm_dttm;arrival_dttm;neighborhood_district;battalion;primary_situation;suppression_units;suppression_personnel;ems_units;number_of_alarms;civilian_fatalities;civilian_injuries;no_flame_spread;estimated_property_loss;response_time_min;year;month;hour;weekday;is_weekend;is_night;neighborhood;acs_year;total_population;median_household_income;median_gross_rent;poverty_below;poverty_universe_total;bachelor_degree_count;education_universe_total;vacant_housing_units;total_housing_units;crime_index;crime_rate_raw;parcel_count;yrbuilt_count;pre1940_count;pre1960_count;total_resunits;residential_count;total_area_sqft;high_risk_commercial_area_sqft
20000058;2020-01-01;2020-01-01 01:35:47;2020-01-01 01:37:55;Nob Hill;B04;150 Outside rubbish fire, other;1;5;0;1;0;0;NA;0.0;2.1333333333333333;2020;1;1;2;0;1;Nob Hill;2019;17637.0;100708;1917;1823.0;16763.0;5747.0;14624.0;1450.0;11110.0;1.1132;232.636;1686;1626;1433;1484;17512.0;1400;7612553.622910589;561471.563747047
22167728;2022-12-26;2022-12-26 12:49:20;2022-12-26 12:55:10;Tenderloin;B03;520 Water problem, other;1;5;0;1;0;0;NA;0.0;5.833333333333333;2022;12;12;0;0;0;Tenderloin;2021;31118.0;44084;1190;7055.0;30492.0;6370.0;25816.0;2770.0;20903.0;2.8432;407.995;838;767;682;699;20084.0;415;6915450.999958961;787681.339408623
24000050;2024-01-01;2024-01-01 01:35:29;2024-01-01 01:42:44;North Beach;B01;150 Outside rubbish fire, other;3;10;0;1;0;0;NA;0.0;7.25;2024;1;1;0;0;1;North Beach;2023;11497.0;130293;2225;1147.0;11497.0;3239.0;9370.0;1498.0;7599.0;2.4314;356.702;1474;1352;1067;1167;6485.0;1136;10205305.035137417;535815.8314279229
18024341;2018-02-26;2018-02-26 13:30:14;2018-02-26 13:32:30;Castro/Upper Market;B05;311 Medical assist, assist EMS crew;4;15;2;1;0;0;NA;0.0;2.2666666666666666;2018;2;13;0;0;0;Castro/Upper Market;2014;15656.0;115515;1808;1165.0;15570.0;5343.0;14007.0;780.0;9264.0;1.2655;297.649;4642;4432;3536;3899;11618.0;4239;16444864.1772685;556767.736190382
20000090;2020-01-01;2020-01-01 02:10:58;2020-01-01 02:15:27;Japantown;B04;150 Outside rubbish fire, other;1;4;0;1;0;0;NA;0.0;4.483333333333333;2020;1;2;2;0;1;Japantown;2019;3551.0;79783;1470;372.0;3507.0;798.0;3148.0;269.0;2535.0;1.6912;353.422;231;213;122;129;3095.0;113;2366336.9829937057;223380.26237899592
05095194;2005-12-17;2005-12-17 15:41:20;2005-12-17 15:45:41;Mission;B02;111 - Building fire;3;11;0;1;0;0;2;500.0;4.35;2005;12;15;5;1;0;Mission;2009;33928.0;69039;1273;3790.0;33656.0;0.0;0.0;705.0;12202.0;;;7339;6944;5931;6279;25369.0;5836;35309344.43523844;5005477.382824288
24000051;2024-01-01;2024-01-01 01:36:55;2024-01-01 01:44:42;North Beach;B01;1600 Tent/Encampment fire;1;4;0;1;0;0;NA;0.0;7.783333333333333;2024;1;1;0;0;1;North Beach;2023;11497.0;130293;2225;1147.0;11497.0;3239.0;9370.0;1498.0;7599.0;2.4314;356.702;1474;1352;1067;1167;6485.0;1136;10205305.035137417;535815.8314279229
18024349;2018-02-26;2018-02-26 13:44:16;2018-02-26 13:48:23;Outer Mission;B09;745 Alarm system activation, no fire - unintentional;3;11;0;1;0;0;NA;0.0;4.116666666666666;2018;2;13;0;0;0;Outer Mission;2014;7047.0;60469;1342;678.0;6997.0;971.0;5056.0;10.0;1997.0;1.1584;272.456;5436;3285;2533;3023;5725.0;3208;20100048.402943444;492167.405704746
20000094;2020-01-01;2020-01-01 02:20:47;2020-01-01 02:25:11;Marina;B04;322 Motor vehicle accident with injuries;1;4;0;1;0;0;NA;0.0;4.4;2020;1;2;2;0;1;Marina;2019;16100.0;148914;2526;575.0;16008.0;7314.0;13722.0;651.0;9591.0;1.1431;238.882;4140;4028;3445;3728;14844.0;3667;19061019.96271947;691190.43714124
22167741;2022-12-26;2022-12-26 13:27:13;2022-12-26 13:30:31;Nob Hill;B01;113 Cooking fire, confined to container;8;29;1;1;0;0;NA;50.0;3.3;2022;12;13;0;0;0;Nob Hill;2021;25622.0;104858;1984;2747.0;24811.0;8864.0;22146.0;3181.0;17897.0;0.9484;136.094;1686;1626;1433;1484;17512.0;1400;7612553.622910589;561471.563747047
05095196;2005-12-17;2005-12-17 16:15:22;2005-12-17 16:19:01;Bernal Heights;B06;500 - Service Call, other;1;4;0;1;0;0;;0.0;3.65;2005;12;16;5;1;0;Bernal Heights;2009;26211.0;84604;1476;2285.0;26002.0;0.0;0.0;544.0;9712.0;;;6769;6285;4339;5383;8715.0;6115;20739547.505492706;834632.4964782239
24000054;2024-01-01;2024-01-01 01:44:19;2024-01-01 01:49:02;Russian Hill;B04;700 False alarm or false call, other;2;9;1;1;0;0;NA;0.0;4.716666666666667;2024;1;1;0;0;1;Russian Hill;2023;16879.0;159262;2853;1423.0;16871.0;6357.0;14919.0;1871.0;11537.0;1.2325;180.816;2199;2108;1732;1903;11438.0;1950;8758436.372319117;457713.3700193
05095202;2005-12-17;2005-12-17 17:05:27;2005-12-17 17:08:10;Chinatown;B01;730 - System malfunction, other;3;11;0;1;0;0;;0.0;2.716666666666667;2005;12;17;5;1;0;Chinatown;2009;5014.0;19367;552;1653.0;5014.0;0.0;0.0;206.0;2299.0;;;1005;946;846;872;8076.0;584;4062467.545265171;353139.634978812
20000095;2020-01-01;2020-01-01 02:24:34;2020-01-01 02:27:45;Russian Hill;B04;741 Sprinkler activation, no fire - unintentional;9;33;1;1;0;0;NA;6000.0;3.183333333333333;2020;1;2;2;0;1;Russian Hill;2019;4359.0;150972;2206;333.0;4359.0;1708.0;3837.0;409.0;2380.0;3.4691;724.937;2199;2108;1732;1903;11438.0;1950;8758436.372319117;457713.3700193
22167746;2022-12-26;2022-12-26 13:37:44;2022-12-26 13:43:02;Pacific Heights;B04;511 Lock-out;1;5;0;1;0;0;NA;0.0;5.3;2022;12;13;0;0;0;Pacific Heights;2021;23895.0;179209;2732;1384.0;23475.0;8892.0;20206.0;2381.0;15231.0;0.6334;90.898;3163;3059;2548;2744;15087.0;2846;15133028.741615564;436339.99526388
18024353;2018-02-26;2018-02-26 13:50:09;2018-02-26 13:52:38;Noe Valley;B06;440 Electrical  wiring/equipment problem, other;1;4;0;1;0;0;NA;0.0;2.4833333333333334;2018;2;13;0;0;0;Noe Valley;2014;22384.0;121369;1844;1332.0;22358.0;6320.0;18191.0;821.0;11643.0;0.261;61.383;5791;5241;4132;4662;11324.0;5202;18708101.690416567;239297.05518362
18024360;2018-02-26;2018-02-26 14:20:06;2018-02-26 14:24:43;Mission;B02;500 Service Call, other;2;9;1;1;0;0;NA;0.0;4.616666666666666;2018;2;14;0;0;0;Mission;2014;33652.0;77025;1526;5002.0;33129.0;7929.0;26289.0;876.0;12905.0;2.1662;509.509;7339;6944;5931;6279;25369.0;5836;35309344.43523844;5005477.382824288
22167756;2022-12-26;2022-12-26 14:03:58;2022-12-26 14:13:47;Sunset/Parkside;B08;311 Medical assist, assist EMS crew;1;4;1;1;0;0;NA;0.0;9.816666666666666;2022;12;14;0;0;0;Sunset/Parkside;2021;81209.0;132255;2538;5595.0;80706.0;23640.0;64118.0;1485.0;29094.0;0.3278;47.039;22319;20669;9008;19861;25996.0;20241;76208672.28087573;1238874.89979652
20000096;2020-01-01;2020-01-01 02:28:53;2020-01-01 02:34:45;Potrero Hill;B10;131 Passenger vehicle fire;2;9;0;1;0;0;NA;8000.0;5.866666666666666;2020;1;2;2;0;1;Potrero Hill;2019;8878.0;196593;2640;417.0;8861.0;3073.0;7316.0;453.0;4583.0;1.2192;254.787;2948;2623;1741;1983;7487.0;2374;23512977.162499327;2556093.17916258
24000058;2024-01-01;2024-01-01 01:55:14;2024-01-01 02:04:02;Treasure Island;B03;553 Public service;1;4;0;1;0;0;NA;0.0;8.8;2024;1;1;0;0;1;Treasure Island;2023;2829.0;91750;2538;1064.0;2750.0;518.0;1781.0;62.0;679.0;0.9782;143.514;192;0;0;0;0.0;0;54854572.20484596;0.0
05095203;2005-12-17;2005-12-17 17:11:25;2005-12-17 17:15:31;Tenderloin;B02;353 - Removal of victim(s) from stalled elev.;1;5;0;1;0;0;;0.0;4.1;2005;12;17;5;1;0;Tenderloin;2009;;;;;;;;;;;;838;767;682;699;20084.0;415;6915450.999958961;787681.339408623
20000097;2020-01-01;2020-01-01 02:29:55;2020-01-01 02:36:03;Castro/Upper Market;B06;700 False alarm or false call, other;3;10;0;1;0;0;NA;0.0;6.133333333333334;2020;1;2;2;0;1;Castro/Upper Market;2019;17311.0;163657;2256;1005.0;17259.0;6347.0;15112.0;929.0;9527.0;1.1104;232.049;4642;4432;3536;3899;11618.0;4239;16444864.1772685;556767.736190382
05095205;2005-12-17;2005-12-17 17:15:44;2005-12-17 17:20:27;Lakeshore;B08;440 - Elec. wiring/equip. problem, other;11;33;0;1;0;0;;0.0;4.716666666666667;2005;12;17;5;1;0;Lakeshore;2009;6046.0;50895;1452;1250.0;5049.0;0.0;0.0;121.0;2314.0;;;445;0;0;0;4117.0;126;74019501.46793301;961769.23924631
24000065;2024-01-01;2024-01-01 02:07:16;2024-01-01 02:12:00;Outer Mission;B09;150 Outside rubbish fire, other;1;4;0;1;0;0;NA;0.0;4.733333333333333;2024;1;2;0;0;1;Outer Mission;2023;21717.0;142931;2166;2006.0;21433.0;4570.0;16637.0;368.0;6668.0;0.58;85.095;5436;3285;2533;3023;5725.0;3208;20100048.402943444;492167.405704746
22167759;2022-12-26;2022-12-26 14:10:10;2022-12-26 14:18:15;Golden Gate Park;B07;481 Attempt to burn;1;4;0;1;0;0;NA;0.0;8.083333333333334;2022;12;14;0;0;0;Golden Gate Park;2021;25.0;149688;2694;0.0;25.0;10.0;25.0;0.0;17.0;512.3361;73520.0;6;3;3;3;31.0;1;44737903.94622949;7968.30115402
18024369;2018-02-26;2018-02-26 14:40:36;2018-02-26 14:43:35;North Beach;B01;744 Detector activation, no fire - unintentional;3;11;0;1;0;0;NA;0.0;2.9833333333333334;2018;2;14;0;0;0;North Beach;2014;3664.0;28750;981;1175.0;3664.0;777.0;3090.0;275.0;2116.0;5.4874;1290.666;1474;1352;1067;1167;6485.0;1136;10205305.035137417;535815.8314279229
20000116;2020-01-01;2020-01-01 02:57:59;2020-01-01 03:08:14;Financial District/South Beach;B03;500 Service Call, other;1;4;0;1;0;0;NA;0.0;10.25;2020;1;2;2;0;1;Financial District/South Beach;2019;4569.0;107073;1814;802.0;4513.0;1536.0;3994.0;690.0;3490.0;12.2226;2554.169;1232;1002;661;711;16452.0;164;22336746.81299536;1605340.129434689
24000066;2024-01-01;2024-01-01 02:09:08;2024-01-01 02:13:29;Castro/Upper Market;B05;700 False alarm or false call, other;3;10;0;1;0;0;NA;0.0;4.35;2024;1;2;0;0;1;Castro/Upper Market;2023;22024.0;203862;2663;1566.0;21956.0;8021.0;19145.0;1504.0;13056.0;0.8836;129.631;4642;4432;3536;3899;11618.0;4239;16444864.1772685;556767.736190382
18024371;2018-02-26;2018-02-26 14:50:05;2018-02-26 14:53:28;Pacific Heights;B04;324 Motor vehicle accident with no injuries.;4;15;1;1;0;0;NA;0.0;3.3833333333333333;2018;2;14;0;0;0;Pacific Heights;2014;15836.0;116465;1922;765.0;15516.0;6195.0;13735.0;846.0;9813.0;0.6967;163.867;3163;3059;2548;2744;15087.0;2846;15133028.741615564;436339.99526388
22167760;2022-12-26;2022-12-26 14:10:21;2022-12-26 14:14:36;Inner Sunset;B05;510 Person in distress, other;1;5;0;1;0;0;;0.0;4.25;2022;12;14;0;0;0;Inner Sunset;2021;28070.0;150017;2692;2385.0;27239.0;9570.0;22762.0;1061.0;13034.0;0.3282;47.097;6610;6414;3721;5139;12068.0;6250;29298615.223204397;415301.68786902097
05095210;2005-12-17;2005-12-17 17:32:33;2005-12-17 17:35:40;Potrero Hill;B10;511 - Lock-out;1;4;0;1;0;0;;0.0;3.1166666666666667;2005;12;17;5;1;0;Potrero Hill;2009;3501.0;119797;1890;117.0;3501.0;0.0;0.0;76.0;1922.0;;;2948;2623;1741;1983;7487.0;2374;23512977.162499327;2556093.17916258
05095211;2005-12-17;2005-12-17 17:33:15;2005-12-17 17:34:21;Lakeshore;B08;735 - Alarm system sounded due to malfunction;3;10;0;1;0;0;;0.0;1.1;2005;12;17;5;1;0;Lakeshore;2009;6046.0;50895;1452;1250.0;5049.0;0.0;0.0;121.0;2314.0;;;445;0;0;0;4117.0;126;74019501.46793301;961769.23924631
24000070;2024-01-01;2024-01-01 02:13:54;2024-01-01 02:16:57;Financial District/South Beach;B01;311 Medical assist, assist EMS crew;2;8;0;1;0;0;;0.0;3.05;2024;1;2;0;0;1;Financial District/South Beach;2023;24519.0;190545;3130;2158.0;24358.0;7591.0;20728.0;3314.0;17123.0;2.003;293.854;1232;1002;661;711;16452.0;164;22336746.81299536;1605340.129434689
20000118;2020-01-01;2020-01-01 03:01:54;2020-01-01 03:07:19;Excelsior;B09;500 Service Call, other;1;4;0;1;0;0;NA;0.0;5.416666666666667;2020;1;3;2;0;1;Excelsior;2019;39879.0;89857;1764;3448.0;39218.0;6448.0;30274.0;499.0;11475.0;0.2473;51.681;8510;8373;5065;7252;9269.0;8219;27241725.472731814;364498.40016867
22167770;2022-12-26;2022-12-26 14:36:29;2022-12-26 14:40:15;Mission;B06;150 Outside rubbish fire, other;1;4;0;1;0;0;NA;0.0;3.7666666666666666;2022;12;14;0;0;0;Mission;2021;57018.0;128489;2102;7228.0;56524.0;17473.0;46519.0;3265.0;26164.0;1.5283;219.317;7339;6944;5931;6279;25369.0;5836;35309344.43523844;5005477.382824288
18024375;2018-02-26;2018-02-26 15:11:51;2018-02-26 15:14:52;Tenderloin;B04;700 False alarm or false call, other;3;10;0;1;0;0;NA;0.0;3.0166666666666666;2018;2;15;0;0;0;Tenderloin;2014;11507.0;20562;765;4076.0;11283.0;1992.0;9726.0;1090.0;7839.0;4.8827;1148.431;838;767;682;699;20084.0;415;6915450.999958961;787681.339408623
