einsatz_nummer;einsatz_datum;alarm_zeitpunkt;ankunft_zeitpunkt;stadtteil_bezirk;bataillon;einsatzart;loeschfahrzeuge;loeschkraefte;rettungsdienst_einheiten;alarmstufe;zivile_tote;zivile_verletzte;flammenausbreitung_eingedaemmt;schaetzung_sachschaden_usd;antwortzeit_min;jahr;monat;stunde;wochentag;ist_wochenende;ist_nacht;stadtteil;acs_jahr;gesamtbevoelkerung;median_haushaltseinkommen;median_miete;armutsbevoelkerung;armuts_grundgesamtheit;akademiker_anzahl;bildungs_grundgesamtheit;leerstehende_wohneinheiten;gesamtzahl_wohnungen;kriminalitaetsindex;kriminalitaetsrate_pro_1000_ew_roh;parzellen_anzahl;parzellen_mit_baujahr;parzellen_vor_1940;parzellen_vor_1960;gesamtzahl_wohneinheiten;wohnparzellen_anzahl;gesamtflaeche_sqft;risikogewerbeflaeche_sqft;armutsquote_pct;akademikerquote_pct;leerstandsquote_pct;anteil_altbau_vor_1940_pct;anteil_altbau_vor_1960_pct;anteil_wohngebaeude_pct;anteil_risikogewerbe_pct
20000041;2020-01-01;2020-01-01 00:59:00;2020-01-01 01:03:37;Presidio Heights;B07;600 Good intent call, other;1;4;0;1;0;0;NA;0.0;4.616666666666666;2020;1;0;2;0;1;Presidio Heights;2019;4634;166103;1762;485;4599;1397;3372;142;2111;0.8427;176.09;2110;2044;1585;1877;5190;1908;9527729.349454287;221803.5619475;0.1055;0.4143;0.0673;0.7754;0.9183;0.9043;0.0233
24000046;2024-01-01;2024-01-01 01:22:48;2024-01-01 01:27:54;Chinatown;B01;320 Emergency medical service incident, other;1;4;1;1;0;0;NA;0.0;5.1;2024;1;1;0;0;1;Chinatown;2023;12644;37973;907;3635;12607;1913;10558;1019;7428;1.1898;174.549;1005;946;846;872;8076;584;4062467.545265171;353139.634978812;0.2883;0.1812;0.1372;0.8943;0.9218;0.5811;0.0869
22167717;2022-12-26;2022-12-26 12:36:10;2022-12-26 12:41:37;Bernal Heights;B10;700 False alarm or false call, other;3;10;0;1;0;0;NA;0.0;5.45;2022;12;12;0;0;0;Bernal Heights;2021;25325;152701;2123;1839;25215;6214;19923;952;10040;0.7595;108.983;6769;6285;4339;5383;8715;6115;20739547.505492706;834632.4964782239;0.0729;0.3119;0.0948;0.6904;0.8565;0.9034;0.0402
18024332;2018-02-26;2018-02-26 13:07:29;2018-02-26 13:10:53;Pacific Heights;B04;745 Alarm system activation, no fire - unintentional;3;10;0;1;0;0;NA;0.0;3.4;2018;2;13;0;0;0;Pacific Heights;2014;15836;116465;1922;765;15516;6195;13735;846;9813;0.6967;163.867;3163;3059;2548;2744;15087;2846;15133028.741615564;436339.99526388;0.0493;0.451;0.0862;0.833;0.897;0.8998;0.0288
05095187;2005-12-17;2005-12-17 15:07:05;2005-12-17 15:11:23;Potrero Hill;B10;311 - Medical assist, assist EMS crew;1;4;0;1;0;0;;0.0;4.3;2005;12;15;5;1;0;Potrero Hill;2009;3501;119797;1890;117;3501;0;0;76;1922;;;2948;2623;1741;1983;7487;2374;23512977.162499327;2556093.17916258;0.0334;;0.0395;0.6637;0.756;0.8053;0.1087
20000044;2020-01-01;2020-01-01 01:03:51;2020-01-01 01:08:12;Tenderloin;B02;735 Alarm system sounded due to malfunction;3;11;0;1;0;0;NA;0.0;4.35;2020;1;1;2;0;1;Tenderloin;2019;11685;32229;1018;3435;11510;2115;10224;941;8079;5.4893;1147.112;838;767;682;699;20084;415;6915450.999958961;787681.339408623;0.2984;0.2069;0.1165;0.8892;0.9113;0.4952;0.1139
24000047;2024-01-01;2024-01-01 01:28:16;2024-01-01 01:34:54;Pacific Heights;B04;651 Smoke scare, odor of smoke;1;4;0;1;0;0;NA;0.0;6.633333333333334;2024;1;1;0;0;1;Pacific Heights;2023;22976;197067;3049;1156;22601;9206;19559;2451;15299;0.6746;98.973;3163;3059;2548;2744;15087;2846;15133028.741615564;436339.99526388;0.0511;0.4707;0.1602;0.833;0.897;0.8998;0.0288
05095189;2005-12-17;2005-12-17 15:11:01;2005-12-17 15:15:14;Potrero Hill;B10;700 - False alarm or false call, other;9;30;0;1;0;0;;0.0;4.216666666666667;2005;12;15;5;1;0;Potrero Hill;2009;3501;119797;1890;117;3501;0;0;76;1922;;;2948;2623;1741;1983;7487;2374;23512977.162499327;2556093.17916258;0.0334;;0.0395;0.6637;0.756;0.8053;0.1087
18024334;2018-02-26;2018-02-26 13:12:51;2018-02-26 13:15:57;Bayview Hunters Point;B10;322 Motor vehicle accident with injuries;4;14;5;1;0;0;NA;0.0;3.1;2018;2;13;0;0;0;Bayview Hunters Point;2014;37537;58112;1139;8419;37431;4074;24561;959;11922;0.8745;205.69;9079;7590;3045;5305;11504;6692;132006461.54851584;13267553.77316572;0.2249;0.1659;0.0804;0.4012;0.6989;0.7371;0.1005
22167718;2022-12-26;2022-12-26 12:36:31;2022-12-26 12:48:46;Portola;B10;300 Rescue, EMS incident, other;1;4;1;1;0;0;NA;0.0;12.25;2022;12;12;0;0;0;Portola;2021;15965;108595;2140;1449;15891;2424;12374;209;5079;0.6224;89.32;3886;3747;1370;2893;4373;3651;16272726.629967185;279929.66771326;0.0912;0.1959;0.0411;0.3656;0.7721;0.9395;0.0172
20000058;2020-01-01;2020-01-01 01:35:47;2020-01-01 01:37:55;Nob Hill;B04;150 Outside rubbish fire, other;1;5;0;1;0;0;NA;0.0;2.1333333333333333;2020;1;1;2;0;1;Nob Hill;2019;17637;100708;1917;1823;16763;5747;14624;1450;11110;1.1132;232.636;1686;1626;1433;1484;17512;1400;7612553.622910589;561471.563747047;0.1088;0.393;0.1305;0.8813;0.9127;0.8304;0.0738
22167728;2022-12-26;2022-12-26 12:49:20;2022-12-26 12:55:10;Tenderloin;B03;520 Water problem, other;1;5;0;1;0;0;NA;0.0;5.833333333333333;2022;12;12;0;0;0;Tenderloin;2021;31118;44084;1190;7055;30492;6370;25816;2770;20903;2.8432;407.995;838;767;682;699;20084;415;6915450.999958961;787681.339408623;0.2314;0.2467;0.1325;0.8892;0.9113;0.4952;0.1139
24000050;2024-01-01;2024-01-01 01:35:29;2024-01-01 01:42:44;North Beach;B01;150 Outside rubbish fire, other;3;10;0;1;0;0;NA;0.0;7.25;2024;1;1;0;0;1;North Beach;2023;11497;130293;2225;1147;11497;3239;9370;1498;7599;2.4314;356.702;1474;1352;1067;1167;6485;1136;10205305.035137417;535815.8314279229;0.0998;0.3457;0.1971;0.7892;0.8632;0.7707;0.0525
18024341;2018-02-26;2018-02-26 13:30:14;2018-02-26 13:32:30;Castro/Upper Market;B05;311 Medical assist, assist EMS crew;4;15;2;1;0;0;NA;0.0;2.2666666666666666;2018;2;13;0;0;0;Castro/Upper Market;2014;15656;115515;1808;1165;15570;5343;14007;780;9264;1.2655;297.649;4642;4432;3536;3899;11618;4239;16444864.1772685;556767.736190382;0.0748;0.3815;0.0842;0.7978;0.8797;0.9132;0.0339
20000090;2020-01-01;2020-01-01 02:10:58;2020-01-01 02:15:27;Japantown;B04;150 Outside rubbish fire, other;1;4;0;1;0;0;NA;0.0;4.483333333333333;2020;1;2;2;0;1;Japantown;2019;3551;79783;1470;372;3507;798;3148;269;2535;1.6912;353.422;231;213;122;129;3095;113;2366336.9829937057;223380.26237899592;0.1061;0.2535;0.1061;0.5728;0.6056;0.4892;0.0944
05095194;2005-12-17;2005-12-17 15:41:20;2005-12-17 15:45:41;Mission;B02;111 - Building fire;3;11;0;1;0;0;2;500.0;4.35;2005;12;15;5;1;0;Mission;2009;33928;69039;1273;3790;33656;0;0;705;12202;;;7339;6944;5931;6279;25369;5836;35309344.43523844;5005477.382824288;0.1126;;0.0578;0.8541;0.9042;0.7952;0.1418
24000051;2024-01-01;2024-01-01 01:36:55;2024-01-01 01:44:42;North Beach;B01;1600 Tent/Encampment fire;1;4;0;1;0;0;NA;0.0;7.783333333333333;2024;1;1;0;0;1;North Beach;2023;11497;130293;2225;1147;11497;3239;9370;1498;7599;2.4314;356.702;1474;1352;1067;1167;6485;1136;10205305.035137417;535815.8314279229;0.0998;0.3457;0.1971;0.7892;0.8632;0.7707;0.0525
18024349;2018-02-26;2018-02-26 13:44:16;2018-02-26 13:48:23;Outer Mission;B09;745 Alarm system activation, no fire - unintentional;3;11;0;1;0;0;NA;0.0;4.116666666666666;2018;2;13;0;0;0;Outer Mission;2014;7047;60469;1342;678;6997;971;5056;10;1997;1.1584;272.456;5436;3285;2533;3023;5725;3208;20100048.402943444;492167.405704746;0.0969;0.192;0.005;0.7711;0.9202;0.5901;0.0245
20000094;2020-01-01;2020-01-01 02:20:47;2020-01-01 02:25:11;Marina;B04;322 Motor vehicle accident with injuries;1;4;0;1;0;0;NA;0.0;4.4;2020;1;2;2;0;1;Marina;2019;16100;148914;2526;575;16008;7314;13722;651;9591;1.1431;238.882;4140;4028;3445;3728;14844;3667;19061019.96271947;691190.43714124;0.0359;0.533;0.0679;0.8553;0.9255;0.8857;0.0363
22167741;2022-12-26;2022-12-26 13:27:13;2022-12-26 13:30:31;Nob Hill;B01;113 Cooking fire, confined to container;8;29;1;1;0;0;NA;50.0;3.3;2022;12;13;0;0;0;Nob Hill;2021;25622;104858;1984;2747;24811;8864;22146;3181;17897;0.9484;136.094;1686;1626;1433;1484;17512;1400;7612553.622910589;561471.563747047;0.1107;0.4003;0.1777;0.8813;0.9127;0.8304;0.0738
05095196;2005-12-17;2005-12-17 16:15:22;2005-12-17 16:19:01;Bernal Heights;B06;500 - Service Call, other;1;4;0;1;0;0;;0.0;3.65;2005;12;16;5;1;0;Bernal Heights;2009;26211;84604;1476;2285;26002;0;0;544;9712;;;6769;6285;4339;5383;8715;6115;20739547.505492706;834632.4964782239;0.0879;;0.056;0.6904;0.8565;0.9034;0.0402
24000054;2024-01-01;2024-01-01 01:44:19;2024-01-01 01:49:02;Russian Hill;B04;700 False alarm or false call, other;2;9;1;1;0;0;NA;0.0;4.716666666666667;2024;1;1;0;0;1;Russian Hill;2023;16879;159262;2853;1423;16871;6357;14919;1871;11537;1.2325;180.816;2199;2108;1732;1903;11438;1950;8758436.372319117;457713.3700193;0.0843;0.4261;0.1622;0.8216;0.9028;0.8868;0.0523
05095202;2005-12-17;2005-12-17 17:05:27;2005-12-17 17:08:10;Chinatown;B01;730 - System malfunction, other;3;11;0;1;0;0;;0.0;2.716666666666667;2005;12;17;5;1;0;Chinatown;2009;5014;19367;552;1653;5014;0;0;206;2299;;;1005;946;846;872;8076;584;4062467.545265171;353139.634978812;0.3297;;0.0896;0.8943;0.9218;0.5811;0.0869
20000095;2020-01-01;2020-01-01 02:24:34;2020-01-01 02:27:45;Russian Hill;B04;741 Sprinkler activation, no fire - unintentional;9;33;1;1;0;0;NA;6000.0;3.183333333333333;2020;1;2;2;0;1;Russian Hill;2019;4359;150972;2206;333;4359;1708;3837;409;2380;3.4691;724.937;2199;2108;1732;1903;11438;1950;8758436.372319117;457713.3700193;0.0764;0.4451;0.1718;0.8216;0.9028;0.8868;0.0523
22167746;2022-12-26;2022-12-26 13:37:44;2022-12-26 13:43:02;Pacific Heights;B04;511 Lock-out;1;5;0;1;0;0;NA;0.0;5.3;2022;12;13;0;0;0;Pacific Heights;2021;23895;179209;2732;1384;23475;8892;20206;2381;15231;0.6334;90.898;3163;3059;2548;2744;15087;2846;15133028.741615564;436339.99526388;0.059;0.4401;0.1563;0.833;0.897;0.8998;0.0288
18024353;2018-02-26;2018-02-26 13:50:09;2018-02-26 13:52:38;Noe Valley;B06;440 Electrical  wiring/equipment problem, other;1;4;0;1;0;0;NA;0.0;2.4833333333333334;2018;2;13;0;0;0;Noe Valley;2014;22384;121369;1844;1332;22358;6320;18191;821;11643;0.261;61.383;5791;5241;4132;4662;11324;5202;18708101.690416567;239297.05518362;0.0596;0.3474;0.0705;0.7884;0.8895;0.8983;0.0128
18024360;2018-02-26;2018-02-26 14:20:06;2018-02-26 14:24:43;Mission;B02;500 Service Call, other;2;9;1;1;0;0;NA;0.0;4.616666666666666;2018;2;14;0;0;0;Mission;2014;33652;77025;1526;5002;33129;7929;26289;876;12905;2.1662;509.509;7339;6944;5931;6279;25369;5836;35309344.43523844;5005477.382824288;0.151;0.3016;0.0679;0.8541;0.9042;0.7952;0.1418
22167756;2022-12-26;2022-12-26 14:03:58;2022-12-26 14:13:47;Sunset/Parkside;B08;311 Medical assist, assist EMS crew;1;4;1;1;0;0;NA;0.0;9.816666666666666;2022;12;14;0;0;0;Sunset/Parkside;2021;81209;132255;2538;5595;80706;23640;64118;1485;29094;0.3278;47.039;22319;20669;9008;19861;25996;20241;76208672.28087573;1238874.89979652;0.0693;0.3687;0.051;0.4358;0.9609;0.9069;0.0163
20000096;2020-01-01;2020-01-01 02:28:53;2020-01-01 02:34:45;Potrero Hill;B10;131 Passenger vehicle fire;2;9;0;1;0;0;NA;8000.0;5.866666666666666;2020;1;2;2;0;1;Potrero Hill;2019;8878;196593;2640;417;8861;3073;7316;453;4583;1.2192;254.787;2948;2623;1741;1983;7487;2374;23512977.162499327;2556093.17916258;0.0471;0.42;0.0988;0.6637;0.756;0.8053;0.1087
24000058;2024-01-01;2024-01-01 01:55:14;2024-01-01 02:04:02;Treasure Island;B03;553 Public service;1;4;0;1;0;0;NA;0.0;8.8;2024;1;1;0;0;1;Treasure Island;2023;2829;91750;2538;1064;2750;518;1781;62;679;0.9782;143.514;192;0;0;0;0;0;54854572.20484596;0.0;0.3869;0.2908;0.0913;;;0.0;0.0
05095203;2005-12-17;2005-12-17 17:11:25;2005-12-17 17:15:31;Tenderloin;B02;353 - Removal of victim(s) from stalled elev.;1;5;0;1;0;0;;0.0;4.1;2005;12;17;5;1;0;Tenderloin;2009;;;;;;;;;;;;838;767;682;699;20084;415;6915450.999958961;787681.339408623;;;;0.8892;0.9113;0.4952;0.1139
20000097;2020-01-01;2020-01-01 02:29:55;2020-01-01 02:36:03;Castro/Upper Market;B06;700 False alarm or false call, other;3;10;0;1;0;0;NA;0.0;6.133333333333334;2020;1;2;2;0;1;Castro/Upper Market;2019;17311;163657;2256;1005;17259;6347;15112;929;9527;1.1104;232.049;4642;4432;3536;3899;11618;4239;16444864.1772685;556767.736190382;0.0582;0.42;0.0975;0.7978;0.8797;0.9132;0.0339
05095205;2005-12-17;2005-12-17 17:15:44;2005-12-17 17:20:27;Lakeshore;B08;440 - Elec. wiring/equip. problem, other;11;33;0;1;0;0;;0.0;4.716666666666667;2005;12;17;5;1;0;Lakeshore;2009;6046;50895;1452;1250;5049;0;0;121;2314;;;445;0;0;0;4117;126;74019501.46793301;961769.23924631;0.2476;;0.0523;;;0.2831;0.013
24000065;2024-01-01;2024-01-01 02:07:16;2024-01-01 02:12:00;Outer Mission;B09;150 Outside rubbish fire, other;1;4;0;1;0;0;NA;0.0;4.733333333333333;2024;1;2;0;0;1;Outer Mission;2023;21717;142931;2166;2006;21433;4570;16637;368;6668;0.58;85.095;5436;3285;2533;3023;5725;3208;20100048.402943444;492167.405704746;0.0936;0.2747;0.0552;0.7711;0.9202;0.5901;0.0245
22167759;2022-12-26;2022-12-26 14:10:10;2022-12-26 14:18:15;Golden Gate Park;B07;481 Attempt to burn;1;4;0;1;0;0;NA;0.0;8.083333333333334;2022;12;14;0;0;0;Golden Gate Park;2021;25;149688;2694;0;25;10;25;0;17;512.3361;73520.0;6;3;3;3;31;1;44737903.94622949;7968.30115402;0.0;0.4;0.0;1.0;1.0;0.1667;0.0002
18024369;2018-02-26;2018-02-26 14:40:36;2018-02-26 14:43:35;North Beach;B01;744 Detector activation, no fire - unintentional;3;11;0;1;0;0;NA;0.0;2.9833333333333334;2018;2;14;0;0;0;North Beach;2014;3664;28750;981;1175;3664;777;3090;275;2116;5.4874;1290.666;1474;1352;1067;1167;6485;1136;10205305.035137417;535815.8314279229;0.3207;0.2515;0.13;0.7892;0.8632;0.7707;0.0525
20000116;2020-01-01;2020-01-01 02:57:59;2020-01-01 03:08:14;Financial District/South Beach;B03;500 Service Call, other;1;4;0;1;0;0;NA;0.0;10.25;2020;1;2;2;0;1;Financial District/South Beach;2019;4569;107073;1814;802;4513;1536;3994;690;3490;12.2226;2554.169;1232;1002;661;711;16452;164;22336746.81299536;1605340.129434689;0.1777;0.3846;0.1977;0.6597;0.7096;0.1331;0.0719
24000066;2024-01-01;2024-01-01 02:09:08;2024-01-01 02:13:29;Castro/Upper Market;B05;700 False alarm or false call, other;3;10;0;1;0;0;NA;0.0;4.35;2024;1;2;0;0;1;Castro/Upper Market;2023;22024;203862;2663;1566;21956;8021;19145;1504;13056;0.8836;129.631;4642;4432;3536;3899;11618;4239;16444864.1772685;556767.736190382;0.0713;0.419;0.1152;0.7978;0.8797;0.9132;0.0339
18024371;2018-02-26;2018-02-26 14:50:05;2018-02-26 14:53:28;Pacific Heights;B04;324 Motor vehicle accident with no injuries.;4;15;1;1;0;0;NA;0.0;3.3833333333333333;2018;2;14;0;0;0;Pacific Heights;2014;15836;116465;1922;765;15516;6195;13735;846;9813;0.6967;163.867;3163;3059;2548;2744;15087;2846;15133028.741615564;436339.99526388;0.0493;0.451;0.0862;0.833;0.897;0.8998;0.0288
22167760;2022-12-26;2022-12-26 14:10:21;2022-12-26 14:14:36;Inner Sunset;B05;510 Person in distress, other;1;5;0;1;0;0;;0.0;4.25;2022;12;14;0;0;0;Inner Sunset;2021;28070;150017;2692;2385;27239;9570;22762;1061;13034;0.3282;47.097;6610;6414;3721;5139;12068;6250;29298615.223204397;415301.68786902097;0.0876;0.4204;0.0814;0.5801;0.8012;0.9455;0.0142
05095210;2005-12-17;2005-12-17 17:32:33;2005-12-17 17:35:40;Potrero Hill;B10;511 - Lock-out;1;4;0;1;0;0;;0.0;3.1166666666666667;2005;12;17;5;1;0;Potrero Hill;2009;3501;119797;1890;117;3501;0;0;76;1922;;;2948;2623;1741;1983;7487;2374;23512977.162499327;2556093.17916258;0.0334;;0.0395;0.6637;0.756;0.8053;0.1087
05095211;2005-12-17;2005-12-17 17:33:15;2005-12-17 17:34:21;Lakeshore;B08;735 - Alarm system sounded due to malfunction;3;10;0;1;0;0;;0.0;1.1;2005;12;17;5;1;0;Lakeshore;2009;6046;50895;1452;1250;5049;0;0;121;2314;;;445;0;0;0;4117;126;74019501.46793301;961769.23924631;0.2476;;0.0523;;;0.2831;0.013
24000070;2024-01-01;2024-01-01 02:13:54;2024-01-01 02:16:57;Financial District/South Beach;B01;311 Medical assist, assist EMS crew;2;8;0;1;0;0;;0.0;3.05;2024;1;2;0;0;1;Financial District/South Beach;2023;24519;190545;3130;2158;24358;7591;20728;3314;17123;2.003;293.854;1232;1002;661;711;16452;164;22336746.81299536;1605340.129434689;0.0886;0.3662;0.1935;0.6597;0.7096;0.1331;0.0719
20000118;2020-01-01;2020-01-01 03:01:54;2020-01-01 03:07:19;Excelsior;B09;500 Service Call, other;1;4;0;1;0;0;NA;0.0;5.416666666666667;2020;1;3;2;0;1;Excelsior;2019;39879;89857;1764;3448;39218;6448;30274;499;11475;0.2473;51.681;8510;8373;5065;7252;9269;8219;27241725.472731814;364498.40016867;0.0879;0.213;0.0435;0.6049;0.8661;0.9658;0.0134
22167770;2022-12-26;2022-12-26 14:36:29;2022-12-26 14:40:15;Mission;B06;150 Outside rubbish fire, other;1;4;0;1;0;0;NA;0.0;3.7666666666666666;2022;12;14;0;0;0;Mission;2021;57018;128489;2102;7228;56524;17473;46519;3265;26164;1.5283;219.317;7339;6944;5931;6279;25369;5836;35309344.43523844;5005477.382824288;0.1279;0.3756;0.1248;0.8541;0.9042;0.7952;0.1418
18024375;2018-02-26;2018-02-26 15:11:51;2018-02-26 15:14:52;Tenderloin;B04;700 False alarm or false call, other;3;10;0;1;0;0;NA;0.0;3.0166666666666666;2018;2;15;0;0;0;Tenderloin;2014;11507;20562;765;4076;11283;1992;9726;1090;7839;4.8827;1148.431;838;767;682;699;20084;415;6915450.999958961;787681.339408623;0.3613;0.2048;0.139;0.8892;0.9113;0.4952;0.1139
