einsatz_nummer;einsatz_datum;alarm_zeitpunkt;ankunft_zeitpunkt;stadtteil_bezirk;bataillon;einsatzart;loeschfahrzeuge;loeschkraefte;rettungsdienst_einheiten;alarmstufe;zivile_tote;zivile_verletzte;flammenausbreitung_eingedaemmt;schaetzung_sachschaden_usd;antwortzeit_min;jahr;monat;stunde;wochentag;ist_wochenende;ist_nacht;stadtteil;acs_jahr;gesamtbevoelkerung;median_haushaltseinkommen;median_miete;armutsbevoelkerung;armuts_grundgesamtheit;akademiker_anzahl;bildungs_grundgesamtheit;leerstehende_wohneinheiten;gesamtzahl_wohnungen;kriminalitaetsindex;kriminalitaetsrate_pro_1000_ew_roh;parzellen_anzahl;parzellen_mit_baujahr;parzellen_vor_1940;parzellen_vor_1960;gesamtzahl_wohneinheiten;wohnparzellen_anzahl;gesamtflaeche_sqft;risikogewerbeflaeche_sqft;armutsquote_pct;akademikerquote_pct;leerstandsquote_pct;anteil_altbau_vor_1940_pct;anteil_altbau_vor_1960_pct;anteil_wohngebaeude_pct;anteil_risikogewerbe_pct
22167647;2022-12-26;2022-12-26 09:36:30;2022-12-26 09:44:49;Pacific Heights;B04;550 Public service assistance, other;2;9;0;1;0;0;NA;0.0;8.316666666666666;2022;12;9;0;0;0;Pacific Heights;2021;23895;179209;2732;1384;23475;8892;20206;2381;15231;0.6334;90.898;3163;3059;2548;2744;15087;2846;15133028.741615564;436339.99526388;0.059;0.4401;0.1563;0.833;0.897;0.8998;0.0288
05095167;2005-12-17;2005-12-17 13:50:17;2005-12-17 13:53:38;Financial District/South Beach;B01;730 - System malfunction, other;3;11;0;1;0;0;;0.0;3.35;2005;12;13;5;1;0;Financial District/South Beach;2009;3946;81993;1521;522;3946;0;0;612;3027;;;1232;1002;661;711;16452;164;22336746.81299536;1605340.129434689;0.1323;;0.2022;0.6597;0.7096;0.1331;0.0719
18024275;2018-02-26;2018-02-26 10:58:56;2018-02-26 11:03:03;Presidio;B99;412 Gas leak (natural gas or LPG);3;10;0;1;0;0;NA;0.0;4.116666666666666;2018;2;10;0;0;0;Presidio;2014;3451;146000;2001;201;3443;1240;2453;99;1317;0.1072;25.21;34;25;21;23;194;25;65811868.5950404;0.0;0.0584;0.5055;0.0752;0.84;0.92;0.7353;0.0
22167650;2022-12-26;2022-12-26 09:40:46;2022-12-26 09:43:16;Presidio Heights;B05;735 Alarm system sounded due to malfunction;3;10;0;1;0;0;NA;0.0;2.5;2022;12;9;0;0;0;Presidio Heights;2021;10475;160481;2392;629;10441;3939;8236;501;5552;0.4863;69.785;2110;2044;1585;1877;5190;1908;9527729.349454287;221803.5619475;0.0602;0.4783;0.0902;0.7754;0.9183;0.9043;0.0233
20000026;2020-01-01;2020-01-01 00:33:52;2020-01-01 00:39:10;Bayview Hunters Point;B10;150 Outside rubbish fire, other;1;4;0;1;0;0;NA;0.0;5.3;2020;1;0;2;0;1;Bayview Hunters Point;2019;37917;64881;1367;6717;37747;4910;26929;776;12701;0.954;199.356;9079;7590;3045;5305;11504;6692;132006461.54851584;13267553.77316572;0.1779;0.1823;0.0611;0.4012;0.6989;0.7371;0.1005
24000014;2024-01-01;2024-01-01 00:32:29;2024-01-01 00:40:43;North Beach;B01;500 Service Call, other;1;4;0;1;0;0;NA;0.0;8.233333333333333;2024;1;0;0;0;1;North Beach;2023;11497;130293;2225;1147;11497;3239;9370;1498;7599;2.4314;356.702;1474;1352;1067;1167;6485;1136;10205305.035137417;535815.8314279229;0.0998;0.3457;0.1971;0.7892;0.8632;0.7707;0.0525
18024279;2018-02-26;2018-02-26 11:08:08;2018-02-26 11:14:30;Bayview Hunters Point;B10;735 Alarm system sounded due to malfunction;3;10;0;1;0;0;NA;0.0;6.366666666666666;2018;2;11;0;0;0;Bayview Hunters Point;2014;37537;58112;1139;8419;37431;4074;24561;959;11922;0.8745;205.69;9079;7590;3045;5305;11504;6692;132006461.54851584;13267553.77316572;0.2249;0.1659;0.0804;0.4012;0.6989;0.7371;0.1005
05095169;2005-12-17;2005-12-17 13:54:18;2005-12-17 13:55:55;Haight Ashbury;B05;444 - Power line down (wire);3;11;0;1;0;0;;0.0;1.6166666666666667;2005;12;13;5;1;0;Haight Ashbury;2009;4718;76019;1407;528;4718;0;0;293;2547;;;2876;2796;2538;2651;8702;2666;10986995.131011656;299610.76852043;0.1119;;0.115;0.9077;0.9481;0.927;0.0273
05095172;2005-12-17;2005-12-17 14:11:10;2005-12-17 14:13:32;Financial District/South Beach;B03;442 - Overheated motor;3;10;0;1;0;0;;0.0;2.3666666666666667;2005;12;14;5;1;0;Financial District/South Beach;2009;3946;81993;1521;522;3946;0;0;612;3027;;;1232;1002;661;711;16452;164;22336746.81299536;1605340.129434689;0.1323;;0.2022;0.6597;0.7096;0.1331;0.0719
18024284;2018-02-26;2018-02-26 11:16:33;2018-02-26 11:21:16;Financial District/South Beach;B01;730 System malfunction, other;3;11;0;1;0;0;NA;0.0;4.716666666666667;2018;2;11;0;0;0;Financial District/South Beach;2014;4153;83938;1639;479;4101;1323;3524;620;3147;11.2192;2638.815;1232;1002;661;711;16452;164;22336746.81299536;1605340.129434689;0.1168;0.3754;0.197;0.6597;0.7096;0.1331;0.0719
24000017;2024-01-01;2024-01-01 00:40:48;2024-01-01 00:46:06;Tenderloin;B02;621 Wrong location;1;5;0;1;0;0;NA;0.0;5.3;2024;1;0;0;0;1;Tenderloin;2023;32009;47965;1189;8414;31530;5918;27825;3152;21432;2.8499;418.101;838;767;682;699;20084;415;6915450.999958961;787681.339408623;0.2669;0.2127;0.1471;0.8892;0.9113;0.4952;0.1139
20000027;2020-01-01;2020-01-01 00:34:01;2020-01-01 00:38:26;Bayview Hunters Point;B10;150 Outside rubbish fire, other;1;4;0;1;0;0;NA;0.0;4.416666666666667;2020;1;0;2;0;1;Bayview Hunters Point;2019;37917;64881;1367;6717;37747;4910;26929;776;12701;0.954;199.356;9079;7590;3045;5305;11504;6692;132006461.54851584;13267553.77316572;0.1779;0.1823;0.0611;0.4012;0.6989;0.7371;0.1005
22167658;2022-12-26;2022-12-26 09:56:24;2022-12-26 09:59:31;South of Market;B03;151 Outside rubbish, trash or waste fire;1;4;0;1;0;0;NA;0.0;3.1166666666666667;2022;12;9;0;0;0;South Of Market;2021;24972;85183;1624;3907;24654;6942;20757;2250;15318;3.3068;474.531;1984;1725;1183;1330;17638;639;17922069.165378615;3975462.21846598;0.1585;0.3344;0.1469;0.6858;0.771;0.3221;0.2218
05095175;2005-12-17;2005-12-17 14:24:01;2005-12-17 14:32:26;Outer Richmond;B07;113 - Cooking fire, confined to container;3;10;0;1;0;0;;0.0;8.416666666666666;2005;12;14;5;1;0;Outer Richmond;2009;23056;70797;1327;1960;23056;0;0;662;9813;;;9568;9399;7227;8285;18402;9103;32744595.616565924;720267.288870773;0.085;;0.0675;0.7689;0.8815;0.9514;0.022
22167681;2022-12-26;2022-12-26 10:52:01;2022-12-26 10:59:20;Potrero Hill;B03;600 Good intent call, other;1;4;0;1;0;0;NA;0.0;7.316666666666666;2022;12;10;0;0;0;Potrero Hill;2021;15089;203465;3065;953;15081;5441;12491;756;8043;1.0059;144.344;2948;2623;1741;1983;7487;2374;23512977.162499327;2556093.17916258;0.0632;0.4356;0.094;0.6637;0.756;0.8053;0.1087
20000028;2020-01-01;2020-01-01 00:34:29;2020-01-01 00:39:30;Tenderloin;B02;711 Municipal alarm system, malicious false alarm;4;16;0;1;0;0;NA;0.0;5.016666666666667;2020;1;0;2;0;1;Tenderloin;2019;11685;32229;1018;3435;11510;2115;10224;941;8079;5.4893;1147.112;838;767;682;699;20084;415;6915450.999958961;787681.339408623;0.2984;0.2069;0.1165;0.8892;0.9113;0.4952;0.1139
24000021;2024-01-01;2024-01-01 00:50:43;2024-01-01 00:55:54;Mission Bay;B03;743 Smoke detector activation, no fire - unintentional;3;11;0;1;0;0;NA;0.0;5.183333333333334;2024;1;0;0;0;1;Mission Bay;2023;16710;208398;3339;1110;16082;4220;13010;662;8138;0.8982;131.777;361;125;57;80;8458;38;19396422.078804985;1614160.25874428;0.069;0.3244;0.0813;0.456;0.64;0.1053;0.0832
18024294;2018-02-26;2018-02-26 11:29:54;2018-02-26 11:32:47;South of Market;B03;323 Motor vehicle/pedestrian accident (MV Ped);3;13;1;1;0;0;NA;0.0;2.8833333333333333;2018;2;11;0;0;0;South Of Market;2014;6298;72346;1170;1649;5654;1561;5638;484;4064;11.3385;2666.878;1984;1725;1183;1330;17638;639;17922069.165378615;3975462.21846598;0.2917;0.2769;0.1191;0.6858;0.771;0.3221;0.2218
18024298;2018-02-26;2018-02-26 11:44:03;2018-02-26 11:49:39;Financial District/South Beach;B03;353 Removal of victim(s) from stalled elevator;1;5;0;1;0;0;NA;0.0;5.6;2018;2;11;0;0;0;Financial District/South Beach;2014;4153;83938;1639;479;4101;1323;3524;620;3147;11.2192;2638.815;1232;1002;661;711;16452;164;22336746.81299536;1605340.129434689;0.1168;0.3754;0.197;0.6597;0.7096;0.1331;0.0719
24000024;2024-01-01;2024-01-01 00:53:29;2024-01-01 00:59:29;Tenderloin;B02;552 Police matter;1;5;0;1;0;0;NA;0.0;6.0;2024;1;0;0;0;1;Tenderloin;2023;32009;47965;1189;8414;31530;5918;27825;3152;21432;2.8499;418.101;838;767;682;699;20084;415;6915450.999958961;787681.339408623;0.2669;0.2127;0.1471;0.8892;0.9113;0.4952;0.1139
05095176;2005-12-17;2005-12-17 14:26:13;2005-12-17 14:26:29;Outer Richmond;B07;113 - Cooking fire, confined to container;11;39;1;1;0;0;;0.0;0.26666666666666666;2005;12;14;5;1;0;Outer Richmond;2009;23056;70797;1327;1960;23056;0;0;662;9813;;;9568;9399;7227;8285;18402;9103;32744595.616565924;720267.288870773;0.085;;0.0675;0.7689;0.8815;0.9514;0.022
20000031;2020-01-01;2020-01-01 00:38:49;2020-01-01 00:43:37;Bayview Hunters Point;B10;700 False alarm or false call, other;2;9;0;1;0;0;NA;0.0;4.8;2020;1;0;2;0;1;Bayview Hunters Point;2019;37917;64881;1367;6717;37747;4910;26929;776;12701;0.954;199.356;9079;7590;3045;5305;11504;6692;132006461.54851584;13267553.77316572;0.1779;0.1823;0.0611;0.4012;0.6989;0.7371;0.1005
22167685;2022-12-26;2022-12-26 11:04:19;2022-12-26 11:06:58;Western Addition;B05;700 False alarm or false call, other;3;10;0;1;0;0;NA;0.0;2.65;2022;12;11;0;0;0;Western Addition;2021;21989;100911;1718;4216;21893;6622;18352;1650;13109;1.4321;205.512;1037;935;683;706;12487;800;10974477.754918382;456049.950788231;0.1926;0.3608;0.1259;0.7305;0.7551;0.7715;0.0416
24000029;2024-01-01;2024-01-01 01:02:37;2024-01-01 01:05:11;Chinatown;B01;320 Emergency medical service incident, other;3;11;2;1;0;0;NA;0.0;2.566666666666667;2024;1;1;0;0;1;Chinatown;2023;12644;37973;907;3635;12607;1913;10558;1019;7428;1.1898;174.549;1005;946;846;872;8076;584;4062467.545265171;353139.634978812;0.2883;0.1812;0.1372;0.8943;0.9218;0.5811;0.0869
22167686;2022-12-26;2022-12-26 11:08:00;2022-12-26 11:12:29;South of Market;B03;520 Water problem, other;1;5;0;1;0;0;NA;0.0;4.483333333333333;2022;12;11;0;0;0;South Of Market;2021;24972;85183;1624;3907;24654;6942;20757;2250;15318;3.3068;474.531;1984;1725;1183;1330;17638;639;17922069.165378615;3975462.21846598;0.1585;0.3344;0.1469;0.6858;0.771;0.3221;0.2218
18024302;2018-02-26;2018-02-26 11:48:21;2018-02-26 11:53:44;Tenderloin;B01;320 Emergency medical service incident, other;1;4;0;1;0;0;NA;0.0;5.383333333333334;2018;2;11;0;0;0;Tenderloin;2014;11507;20562;765;4076;11283;1992;9726;1090;7839;4.8827;1148.431;838;767;682;699;20084;415;6915450.999958961;787681.339408623;0.3613;0.2048;0.139;0.8892;0.9113;0.4952;0.1139
20000033;2020-01-01;2020-01-01 00:41:14;2020-01-01 00:46:19;Mission Bay;B03;700 False alarm or false call, other;1;4;0;1;0;0;NA;0.0;5.083333333333333;2020;1;0;2;0;1;Mission Bay;2019;;;;;;;;;;;;361;125;57;80;8458;38;19396422.078804985;1614160.25874428;;;;0.456;0.64;0.1053;0.0832
05095178;2005-12-17;2005-12-17 14:30:34;2005-12-17 14:33:34;Pacific Heights;B04;743 - Smoke detector, no fire, accidental;3;10;0;1;0;0;;0.0;3.0;2005;12;14;5;1;0;Pacific Heights;2009;9993;112510;1692;519;9893;0;0;417;5637;;;3163;3059;2548;2744;15087;2846;15133028.741615564;436339.99526388;0.0525;;0.074;0.833;0.897;0.8998;0.0288
